Name,UserCulture,Video,Rating,Time,StimCulture,StimEmotion,StimIndex,URL
ad,American,file6,Happiness,2025-11-05T09:06:14.821Z,BG,sa,1,videos/BG_sa_1.mp4
ad,American,file23,Sadness,2025-11-05T09:06:15.333Z,CH,ha,2,videos/CH_ha_2.mp4
ad,American,file29,Neutral,2025-11-05T09:06:15.821Z,CH,su,2,videos/CH_su_2.mp4
ad,American,file18,Sadness,2025-11-05T09:06:16.293Z,BR,su,1,videos/BR_su_1.mp4
ad,American,file1,Surprise,2025-11-05T09:06:17.093Z,BG,an,2,videos/BG_an_2.mp4
FF,Nigerian,file42,Happiness,2025-11-05T09:06:34.917Z,GK,ha,1,videos/GK_ha_1.mp4
FF,Nigerian,file16,Sadness,2025-11-05T09:06:35.375Z,BR,sa,1,videos/BR_sa_1.mp4
FF,Nigerian,file30,Surprise,2025-11-05T09:06:35.789Z,GER,an,1,videos/GER_an_1.mp4
FF,Nigerian,file9,Neutral,2025-11-05T09:06:36.365Z,BG,su,2,videos/BG_su_2.mp4
FF,Nigerian,file48,Sadness,2025-11-05T09:06:36.989Z,GK,su,1,videos/GK_su_1.mp4
Anon,Serbian,file54,Neutral,2025-11-05T09:16:10.929Z,HU,nu,1,videos/HU_nu_1.mp4
Anon,Serbian,file27,Sadness,2025-11-05T09:16:11.478Z,CH,sa,2,videos/CH_sa_2.mp4
Anon,Serbian,file28,Neutral,2025-11-05T09:16:11.945Z,CH,su,1,videos/CH_su_1.mp4
Anon,Serbian,file25,Neutral,2025-11-05T09:16:35.243Z,CH,nu,2,videos/CH_nu_2.mp4
Anon,Serbian,file76,Surprise,2025-11-05T09:16:35.839Z,US,sa,1,videos/US_sa_1.mp4
Anon,Serbian,file53,Neutral,2025-11-05T09:16:36.868Z,HU,ha,2,videos/HU_ha_2.mp4
Anon,Serbian,file3,Neutral,2025-11-05T09:16:37.058Z,BG,ha,2,videos/BG_ha_2.mp4
Anon,Serbian,file42,Neutral,2025-11-05T09:16:37.431Z,GK,ha,1,videos/GK_ha_1.mp4
Anon,Serbian,file78,Neutral,2025-11-05T09:16:37.600Z,US,su,1,videos/US_su_1.mp4
Anon,Serbian,file13,Neutral,2025-11-05T09:16:37.762Z,BR,ha,3,videos/BR_ha_3.mp4
Anon,Serbian,file38,Neutral,2025-11-05T09:16:37.925Z,GER,su,1,videos/GER_su_1.mp4
Anon,Serbian,file23,Neutral,2025-11-05T09:16:38.087Z,CH,ha,2,videos/CH_ha_2.mp4
Anon,Serbian,file51,Neutral,2025-11-05T09:16:38.257Z,HU,an,2,videos/HU_an_2.mp4
Anon,Serbian,file20,Neutral,2025-11-05T09:16:38.419Z,CH,an,1,videos/CH_an_1.mp4
Anon,Serbian,file72,Neutral,2025-11-05T09:16:38.602Z,US,ha,1,videos/US_ha_1.mp4
Anon,Serbian,file15,Neutral,2025-11-05T09:16:38.778Z,BR,nu,2,videos/BR_nu_2.mp4
Anon,Serbian,file36,Neutral,2025-11-05T09:16:38.940Z,GER,sa,1,videos/GER_sa_1.mp4
Anon,Serbian,file77,Neutral,2025-11-05T09:16:39.103Z,US,sa,2,videos/US_sa_2.mp4
Anon,Serbian,file6,Neutral,2025-11-05T09:16:39.266Z,BG,sa,1,videos/BG_sa_1.mp4
Anon,Serbian,file40,Neutral,2025-11-05T09:16:39.441Z,GK,an,1,videos/GK_an_1.mp4
Anon,Serbian,file49,Neutral,2025-11-05T09:16:39.624Z,GK,su,2,videos/GK_su_2.mp4
Anon,Serbian,file14,Neutral,2025-11-05T09:16:39.801Z,BR,nu,1,videos/BR_nu_1.mp4
Anon,Serbian,file41,Neutral,2025-11-05T09:16:39.990Z,GK,an,2,videos/GK_an_2.mp4
Anon,Serbian,file35,Neutral,2025-11-05T09:16:40.173Z,GER,nu,2,videos/GER_nu_2.mp4
Anon,Serbian,file70,Neutral,2025-11-05T09:16:40.363Z,US,an,1,videos/US_an_1.mp4
Anon,Serbian,file19,Neutral,2025-11-05T09:16:40.545Z,BR,su,2,videos/BR_su_2.mp4
Anon,Serbian,file31,Neutral,2025-11-05T09:16:40.735Z,GER,an,2,videos/GER_an_2.mp4
